Date,ACWI,SP500,RUSSELL1000,EW,GMV,RP,GMV_EW
2016-04-01,0.014761115,0.003521648,0.005103779,0.024639433,0.024744914,0.023989723,0.024692174
2016-05-02,0.001263474,0.017168832,0.016791433,-0.031022556,-0.02499764,-0.03105459,-0.028010098
2016-06-01,-0.006057701,0.002085107,0.001754335,-0.00269607,0.008486284,0.003871361,0.002895107
2016-07-01,0.04309645,0.036492833,0.037739704,0.048992179,0.065938336,0.053446965,0.057465257
2016-08-01,0.003362823,0.000615421,0.000596276,0.005276039,0.003405397,0.005961983,0.004340718
2016-09-01,0.006128633,-0.000239034,0.000371045,0.002908525,-0.010223548,-0.00043394,-0.003657512
2016-10-03,-0.016972737,-0.01859538,-0.019826685,-0.006119743,-0.013851804,-0.007722458,-0.009985774
2016-11-01,0.007599625,0.036176404,0.038615019,-0.043636333,-0.052400482,-0.048699697,-0.048018407
2016-12-01,0.021601697,0.01929534,0.018332975,0.032301229,0.010053511,0.027058438,0.02117737
2017-01-02,0.027343094,0.018642394,0.019802678,0.033463064,0.036471988,0.034607041,0.034967526
2017-02-01,0.0280513,0.038950829,0.03801768,0.01680424,0.022997204,0.019639542,0.019900722
2017-03-01,0.012233545,0.000700392,0.000168992,0.024222419,0.001996783,0.019446603,0.013109601
2017-04-03,0.015584664,0.009916085,0.010235116,0.02719367,0.013848878,0.022572691,0.020521274
2017-05-01,0.022082854,0.013322639,0.012072557,0.034446089,0.020835951,0.03149402,0.02764102
2017-06-01,0.004547444,0.0058133,0.006545178,0.001929926,0.002352077,0.000153502,0.002141002
2017-07-03,0.027946674,0.020199234,0.019463074,0.042401364,0.013726341,0.035474789,0.028063852
2017-08-01,0.003831111,0.002307122,0.002425479,0.00869043,-0.03289268,-0.001467019,-0.012101125
2017-09-01,0.019320016,0.020230367,0.020905041,0.003413525,0.00908752,0.005012386,0.006250522
2017-10-02,0.020765337,0.02299013,0.022613365,0.005458574,-0.010146201,0.004432161,-0.002343813
2017-11-01,0.019358218,0.029894071,0.029765763,-0.002025583,0.006462323,-0.001298035,0.00221837
2017-12-01,0.016121713,0.010731034,0.010773286,0.03739741,0.044532603,0.03687457,0.040965006
2018-01-01,0.056416609,0.056931292,0.05459156,0.063258962,0.052762193,0.059442343,0.058010578
2018-02-01,-0.041998273,-0.037483776,-0.037291621,-0.042481551,-0.038979282,-0.040346816,-0.040730417
