Date,RF_m,ACWI_m,SP500_m,RUSSELL1000_m,EW_m,GMV_m,RP_m,GMV_EW_m,YoY_Infl,CPI,HI1,HI2,MKT_exc,SMB,HML,MOM,ACWI_exc,SP500_exc,RUSSELL1000_exc,EW_exc,GMV_exc,RP_exc,GMV_EW_exc
2009-01-01,0.000000000000,-0.085434625448,-0.084701909000,-0.082015503876,-0.084577682414,-0.076349112775,-0.082829125973,-0.080463397594,0.000000000000,211.143000000000,0,0,-0.0855,-0.0095,0.0268,0.0014,-0.085434625448,-0.084701909000,-0.082015503876,-0.084577682414,-0.076349112775,-0.082829125973,-0.080463397594
2009-02-02,0.000100000000,-0.097920974239,-0.107513599544,-0.104357372066,-0.083336549017,-0.031428026605,-0.069736387859,-0.057382287811,0.002000000000,212.193000000000,0,0,-0.0993,0.0211,-0.0082,0.0221,-0.098020974239,-0.107613599544,-0.104457372066,-0.083436549017,-0.031528026605,-0.069836387859,-0.057482287811
2009-03-02,0.000200000000,0.082373864509,0.086937620328,0.086779430899,0.104822815993,0.062544040111,0.092470975969,0.083683428052,-0.004000000000,212.709000000000,0,0,0.0727,-0.008,0.0147,-0.0911,0.082173864509,0.086737620328,0.086579430899,0.104622815993,0.062344040111,0.092270975969,0.083483428052
2009-04-01,0.000100000000,0.118041805618,0.095174350268,0.100723543803,0.156631141757,0.109482039033,0.147918545880,0.133056590395,-0.007000000000,213.240000000000,0,0,0.1141,-0.0277,-0.0042,-0.2426,0.117941805618,0.095074350268,0.100623543803,0.156531141757,0.109382039033,0.147818545880,0.132956590395
2009-05-01,0.000000000000,0.099640680591,0.055071102764,0.054525678615,0.142422594479,0.104036961478,0.133844205685,0.123229777979,-0.013000000000,213.856000000000,0,0,0.0995,0.0166,-0.0159,-0.104,0.099640680591,0.055071102764,0.054525678615,0.142422594479,0.104036961478,0.133844205685,0.123229777979
2009-06-01,0.000100000000,-0.005600037418,0.001448138965,0.001913389240,-0.002280487385,0.012112080455,0.002852944862,0.004915796535,-0.014000000000,215.693000000000,0,0,-0.0026,0.0116,-0.011,0.0272,-0.005700037418,0.001348138965,0.001813389240,-0.002380487385,0.012012080455,0.002752944862,0.004815796535
2009-07-01,0.000100000000,0.088027097114,0.075187280448,0.075882133532,0.109268586709,0.074044218949,0.100447083704,0.091656402829,-0.021000000000,215.351000000000,0,0,0.086,-0.0044,0.0209,-0.029,0.087927097114,0.075087280448,0.075782133532,0.109168586709,0.073944218949,0.100347083704,0.091556402829
2009-08-03,0.000100000000,0.035762077089,0.035348532065,0.035611765195,0.038154970314,0.023162860819,0.032707260487,0.030658915567,-0.015000000000,215.834000000000,0,0,0.0388,-0.005,0.0015,-0.062,0.035662077089,0.035248532065,0.035511765195,0.038054970314,0.023062860819,0.032607260487,0.030558915567
2009-09-01,0.000100000000,0.045874005311,0.036834734781,0.040091592014,0.066020151512,0.033766072484,0.058803102567,0.049893111998,-0.013000000000,215.969000000000,0,0,0.0446,-0.0125,0.0244,-0.0228,0.045774005311,0.036734734781,0.039991592014,0.065920151512,0.033666072484,0.058703102567,0.049793111998
2009-10-01,0.000000000000,-0.015449507892,-0.018933421339,-0.022427355709,-0.010927231236,0.005941961805,-0.008456562188,-0.002492634716,-0.002000000000,216.177000000000,0,0,-0.021,-0.0282,0.0003,0.0163,-0.015449507892,-0.018933421339,-0.022427355709,-0.010927231236,0.005941961805,-0.008456562188,-0.002492634716
